          (   4,    4) (   4,    7) (   4,    3) (   4,    2) (   4,    5) (   4,    2) (   4,    3) (   4,    5) (   4,    1) (   4,    4)
          (   4,    5) (   4,    6) (   4,    3) (   4,    3) (   4,    4) (   4,    5) (   4,    4) (   4,    5) (   4,    4) (   4,    7)
          (   4,    3) (   4,    6) (   4,    4) (   4,    4) (   4,    4) (   4,    2) (   4,    5) (   4,    4) (   4,    4) (   4,    2)
          (   4,    5) (   4,    4) (   4,    5) (   4,    2) (   4,    4) (   4,    4) (   4,    5) (   4,    5) (   4,    2) (   4,    5)
          (   4,    3) (   4,    4) (   4,    3) (   4,    6) (   4,    6) (   4,    2) (   4,    6) (   4,    6) (   4,    4) (   4,    3)
          (   4,    3) (   4,    2) (   4,    3) (   4,    5) (   4,    6) (   4,    6) (   4,    7) (   4,    5) (   4,    3) (   4,    3)
          (   4,    4) (   4,    4) (   4,    5) (   4,    2) (   4,    4) (   4,    2) (   4,    5) (   4,    3) (   4,    4) (   4,    4)
          (   4,    5) (   4,    3) (   4,    2) (   4,    3) (   4,    5) (   4,    3) (   4,    0) (   4,    5) (   4,    3) (   4,    5)
          (   4,    4) (   4,    5) (   4,    5) (   4,    5) (   4,    3) (   4,    6) (   4,    3) (   4,    6) (   4,    4) (   4,    7)
          (   4,    3) (   4,    4) (   4,    3) (   4,    2) (   4,    6) (   4,    3) (   4,    3) (   4,    4) (   4,    4) (   4,    2)
          (   4,    5) (   4,    2) (   4,    2) (   4,    5) (   4,    3) (   4,    2) (   4,    3) (   4,    2) (   4,    5) (   4,    6)
          (   4,    2) (   4,    5) (   4,    5) (   4,    7) (   4,    5) (   4,    3) (   4,    5) (   4,    5) (   4,    5) (   4,    5)
          (   4,    4) (   4,    4) (   4,    2) (   4,    5) (   4,    5) (   4,    2) (   4,    6) (   4,    4) (   4,    5) (   4,    5)
          (   4,    4) (   4,    5) (   4,    2) (   4,    2) (   4,    5) (   4,    5) (   4,    4) (   4,    4) (   4,    6) (   4,    3)
          (   4,    4) (   4,    6) (   4,    6) (   4,    5) (   4,    3) (   4,    3) (   4,    5) (   4,    3) (   4,    3) (   4,    5)
          (   4,    3) (   4,    2) (   4,    4) (   4,    5) (   4,    5) (   4,    4) (   4,    6) (   4,    5) (   4,    4) (   4,    5)
          (   4,    6) (   4,    3) (   4,    3) (   4,    4) (   4,    4) (   4,    6) (   4,    4) (   4,    5) (   4,    5) (   4,    5)
          (   4,    4) (   4,    5) (   4,    7) (   4,    2) (   4,    5) (   4,    3) (   4,    6) (   4,    5) (   4,    4) (   4,    6)
          (   4,    5) (   4,    3) (   4,    4) (   4,    5) (   4,    6) (   4,    6) (   4,    5) (   4,    3) (   4,    3) (   4,    3)
          (   4,    3) (   4,    3) (   4,    4) (   4,    3) (   4,    3) (   4,    5) (   4,    5) (   4,    6) (   4,    5) (   4,    3)
         
node   1 sent_total   2687  recv_total   2752

node   2  (   1,    0) (   0,    0) (   0,    1) (   1,    2) (   3,    5) (   4,    3) (   4,    3) (   4,    2) (   4,    4) (   4,    2)
          (   4,    4) (   4,    5) (   4,    2) (   4,    2) (   4,    4) (   4,    5) (   4,    5) (   4,    6) (   4,    2) (   4,    3)
          (   4,    1) (   4,    4) (   4,    3) (   4,    5) (   4,    5) (   4,    6) (   4,    3) (   4,    5) (   4,    2) (   4,    4)
          (   4,    3) (   4,    6) (   4,    3) (   4,    6) (   4,    3) (   4,    4) (   4,    5) (   4,    6) (   4,    5) (   4,    5)
          (   4,    6) (   4,    3) (   4,    2) (   4,    5) (   4,    3) (   4,    3) (   4,    4) (   4,    7) (   4,    4) (   4,    6)
          (   4,    5) (   4,    6) (   4,    3) (   3,    2) (   2,    4) (   4,    3) (   4,    3) (   4,    4) (   4,    3) (   4,    2)
          (   4,    5) (   3,    5) (   1,    4) (   4,    4) (   4,    5) (   4,    2) (   4,    2) (   4,    3) (   2,    2) (   4,    5)
          (   4,    3) (   2,    5) (   4,    1) (   3,    5) (   4,    4) (   2,    3) (   3,    3) (   4,    2) (   3,    3) (   4,    4)
          (   4,    3) (   4,    5) (   3,    2) (   4,    3) (   3,    5) (   4,    3) (   3,    3) (   3,    4) (   4,    6) (   3,    1)
          (   4,    4) (   4,    4) (   4,    6) (   3,    4) (   2,    5) (   4,    4) (   2,    3) (   4,    3) (   3,    1) (   4,    2)
          (   4,    3) (   3,    3) (   3,    0) (   4,    3) (   3,    5) (   4,    4) (   4,    4) (   4,    5) (   3,    4) (   4,    2)
          (   4,    6) (   4,    4) (   4,    4) (   4,    5) (   3,    3) (   4,    5) (   4,    3) (   4,    4) (   3,    3) (   4,    3)
          (   4,    4) (   4,    0) (   4,    4) (   4,    4) (   4,    3) (   4,    3) (   4,    4) (   4,    3) (   3,    5) (   3,    3)
          (   4,    5) (   4,    5) (   3,    5) (   3,    5) (   4,    3) (   4,    5) (   4,    4) (   4,    5) (   3,    4) (   4,    2)
          (   3,    4) (   4,    3) (   4,    3) (   3,    4) (   4,    4) (   4,    4) (   4,    3) (   3,    3) (   2,    3) (   4,    5)
          (   4,    4) (   4,    2) (   4,    2) (   4,    6) (   4,    5) (   4,    4) (   3,    4) (   2,    4) (   2,    3) (   4,    5)
          (   3,    3) (   4,    4) (   3,    1) (   4,    4) (   4,    3) (   3,    2) (   3,    3) (   4,    4) (   4,    3) (   4,    2)
          (   4,    5) (   4,    4) (   3,    5) (   4,    5) (   4,    3) (   4,    4) (   3,    3) (   3,    4) (   4,    3) (   4,    3)
          (   4,    4) (   4,    2) (   4,    3) (   4,    2) (   3,    4) (   4,    4) (   2,    3) (   4,    2) (   4,    2) (   3,    3)
          (   4,    6) (   4,    5) (   4,    5) (   4,    6) (   4,    6) (   3,    4) (   4,    4) (   4,    6) (   4,    4) (   4,    2)
          (   3,    4) (   3,    2) (   4,    1) (   3,    2) (   4,    1) (   3,    4) (   3,    4) (   4,    4) (   4,    4) (   4,    2)
          (   3,    4) (   4,    1) (   4,    2) (   4,    3) (   3,    3) (   4,    4) (   2,    6) (   3,    5) (   4,    2) (   4,    3)
          (   4,    3) (   4,    2) (   3,    3) (   4,    5) (   4,    4) (   3,    4) (   3,    4) (   4,    8) (   3,    3) (   4,    3)
          (   4,    6) (   4,    5) (   4,    4) (   3,    2) (   4,    2) (   3,    1) (   4,    3) (   4,    4) (   4,    4) (   4,    4)
          (   4,    3) (   3,    2) (   4,    6) (   4,    3) (   3,    6) (   4,    2) (   4,    6) (   1,    2) (   4,    3) (   4,    5)
          (   3,    1) (   3,    6) (   3,    4) (   4,    4) (   3,    1) (   3,    6) (   4,    4) (   4,    5) (   3,    2) (   4,    5)
          (   4,    5) (   4,    3) (   4,    6) (   4,    4) (   3,    4) (   4,    3) (   4,    3) (   3,    3) (   4,    4) (   4,    1)
          (   3,    5) (   4,    5) (   4,    2) (   4,    4) (   3,    6) (   4,    5) (   3,    4) (   4,    4) (   4,    4) (   4,    4)
          (   4,    3) (   4,    3) (   4,    3) (   4,    3) (   4,    6) (   3,    3) (   3,    4) (   4,    4) (   3,    4) (   4,    3)
          (   4,    4) (   4,    5) (   2,    5) (   4,    4) (   4,    3) (   3,    2) (   4,    2) (   4,    3) (   4,    6) (   4,    2)
          (   4,    7) (   4,    4) (   4,    2) (   4,    4) (   4,    6) (   4,    2) (   4,    4) (   4,    3) (   4,    5) (   4,    4)
          (   4,    5) (   4,    3) (   4,    5) (   4,    5) (   4,    5) (   4,    6) (   4,    2) (   4,    1) (   4,    2) (   4,    5)
          (   4,    7) (   4,    7) (   4,    4) (   4,    5) (   4,    4) (   4,    3) (   4,    3) (   4,    4) (   4,    4) (   4,    5)
          (   4,    5) (   4,    2) (   4,    5) (   4,    2) (   4,    5) (   4,    4) (   4,    5) (   4,    4) (   4,    3) (   4,    3)
          (   4,    3) (   4,    4) (   4,    5) (   4,    3) (   4,    3) (   4,    4) (   4,    3) (   4,    4) (   4,    6) (   4,    4)
          (   4,    5) (   4,    6) (   4,    5) (   4,    2) (   4,    3) (   4,    4) (   4,    3) (   4,    4) (   4,    5) (   4,    2)
          (   4,    4) (   4,    4) (   4,    5) (   4,    4) (   4,    3) (   4,    5) (   4,    4) (   4,    4) (   4,    5) (   4,    5)
          (   4,    2) (   4,    4) (   4,    4) (   4,    2) (   4,    4) (   4,    3) (   4,    3) (   4,    4) (   4,    2) (   4,    3)
          (   4,    5) (   4,    1) (   4,    2) (   4,    1) (   4,    5) (   4,    3) (   4,    6) (   4,    3) (   4,    3) (   4,    6)
          (   4,    2) (   4,    4) (   4,    6) (   4,    6) (   4,    4) (   4,    5) (   4,    4) (   4,    4) (   4,    8) (   4,    5)
          (   4,    5) (   4,    5) (   4,    3) (   4,    4) (   4,    6) (   4,    5) (   4,    6) (   4,    4) (   4,    4) (   4,    4)
          (   4,    4) (   4,    5) (   4,    3) (   4,    3) (   4,    3) (   4,    2) (   4,    4) (   4,    5) (   4,    3) (   4,    6)
          (   4,    5) (   4,    5) (   4,    7) (   4,    4) (   4,    5) (   4,    3) (   4,    4) (   4,    4) (   4,    4) (   4,    1)
          (   4,    5) (   4,    1) (   4,    3) (   4,    4) (   4,    5) (   4,    3) (   4,    3) (   4,    6) (   4,    5) (   4,    5)
          (   4,    4) (   4,    3) (   4,    6) (   4,    3) (   4,    4) (   4,    6) (   4,    3) (   4,    4) (   4,    3) (   4,    4)
          (   4,    1) (   4,    3) (   4,    7) (   4,    7) (   4,    7) (   4,    5) (   4,    6) (   4,    5) (   4,    3) (   4,    3)
          (   4,    3) (   4,    6) (   4,    3) (   4,    2) (   4,    7) (   4,    4) (   4,    3) (   4,    3) (   4,    5) (   4,    5)
          (   4,    4) (   4,    5) (   4,    5) (   4,    2) (   4,    6) (   4,    4) (   4,    5) (   4,    3) (   4,    4) (   4,    5)
          (   4,    3) (   4,    5) (   4,    4) (   4,    4) (   4,    5) (   4,    4) (   4,    6) (   4,    5) (   4,    4) (   4,    6)
          (   4,    5) (   4,    4) (   4,    3) (   4,    5) (   4,    4) (   4,    4) (   4,    4) (   4,    3) (   4,    4) (   4,    3)
          (   4,    2) (   4,    3) (   4,    4) (   4,    5) (   4,    4) (   4,    4) (   4,    5) (   4,    4) (   4,    4) (   4,    2)
          (   4,    6) (   4,    3) (   4,    5) (   4,    5) (   4,    6) (   4,    3) (   4,    3) (   4,    5) (   4,    1) (   4,    5)
          (   4,    3) (   4,    5) (   4,    5) (   4,    3) (   4,    3) (   4,    5) (   4,    5) (   4,    4) (   4,    4) (   4,    5)
          (   4,    2) (   4,    5) (   4,    4) (   4,    4) (   4,    6) (   4,    3) (   4,    4) (   4,    7) (   4,    5) (   4,    4)
          (   4,    4) (   4,    3) (   4,    3) (   4,    4) (   4,    4) (   4,    5) (   4,    6) (   4,    3) (   4,    4) (   4,    7)
          (   4,    4) (   4,    5) (   4,    5) (   4,    5) (   4,    4) (   4,    6) (   4,    1) (   4,    2) (   4,    4) (   4,    4)
          (   4,    4) (   4,    4) (   4,    5) (   4,    5) (   4,    3) (   4,    3) (   4,    5) (   4,    5) (   4,    4) (   4,    3)
          (   4,    7) (   4,    4) (   4,    2) (   4,    6) (   4,    5) (   4,    6) (   4,    5) (   4,    4) (   4,    4) (   4,    5)
          (   4,    3) (   4,    4) (   4,    5) (   4,    2) (   4,    4) (   4,    2) (   4,    4) (   4,    4) (   4,    3) (   4,    4)
          (   4,    3) (   4,    4) (   4,    3) (   4,    4) (   4,    3) (   4,    4) (   4,    1) (   4,    4) (   4,    3) (   4,    3)
          (   4,    2) (   4,    5) (   4,    6) (   4,    7) (   4,    2) (   4,    2) (   4,    5) (   4,    6) (   4,    4) (   4,    2)
          (   4,    6) (   4,    4) (   4,    5) (   4,    3) (   4,    1) (   4,    4) (   4,    4) (   4,    4) (   4,    5) (   4,    3)
          (   4,    4) (   4,    5) (   4,    4) (   4,    4) (   4,    5) (   4,    6) (   4,    4) (   4,    3) (   4,    5) (   4,    5)
          (   4,    5) (   4,    4) (   4,    3) (   4,    3) (   4,    2) (   4,    3) (   4,    3) (   4,    3) (   4,    6) (   4,    5)
          (   4,    6) (   4,    4) (   4,    3) (   4,    2) (   4,    7) (   4,    5) (   4,    3) (   4,    4) (   4,    5) (   4,    5)
          (   4,    3) (   4,    5) (   4,    6) (   4,    4) (   4,    5) (   4,    6) (   4,    4) (   4,    5) (   4,    3) (   4,    5)
          (   4,    3) (   4,    4) (   4,    4) (   4,    5) (   4,    4) (   4,    2) (   4,    2) (   4,    4) (   4,    4) (   4,    6)
          (   4,    7) (   4,    6) (   4,    4) (   4,    4) (   4,    2) (   4,    3) (   4,    4) (   4,    5) (   4,    3) (   4,    7)
          (   4,    2) (   4,    1) (   4,    5) (   4,    2) (   4,    3) (   4,    3) (   4,    4) (   4,    5) (   4,    5) (   4,    4)
          (   4,    5) (   4,    6) (   4,    2) (   4,    1) (   4,    5) (   4,    6) (   4,    2) (   4,    4) (   4,    5) (   4,    5)
         
node   2 sent_total   2687  recv_total   2729

node   3  (   1,    0) (   0,    0) (   1,    1) (   1,    0) (   1,    2) (   3,    2) (   4,    5) (   4,    7) (   4,    2) (   4,    7)
          (   4,    4) (   4,    6) (   4,    7) (   4,    5) (   4,    6) (   4,    6) (   4,    2) (   4,    2) (   4,    2) (   4,    6)
          (   4,    5) (   4,    5) (   4,    3) (   4,    4) (   4,    5) (   4,    5) (   4,    4) (   4,    4) (   4,    5) (   4,    3)
          (   4,    7) (   4,    3) (   4,    6) (   4,    2) (   4,    5) (   4,    3) (   4,    7) (   4,    4) (   4,    5) (   4,    4)
          (   4,    4) (   4,    2) (   4,    5) (   4,    4) (   4,    3) (   4,    5) (   4,    6) (   4,    4) (   4,    1) (   4,    3)
          (   4,    6) (   2,    1) (   2,    4) (   4,    6) (   4,    5) (   3,    2) (   4,    3) (   3,    5) (   4,    3) (   4,    2)
          (   4,    5) (   4,    4) (   3,    2) (   4,    5) (   4,    1) (   4,    0) (   3,    2) (   4,    3) (   3,    2) (   4,    3)
          (   4,    6) (   3,    4) (   4,    2) (   4,    2) (   4,    5) (   3,    2) (   2,    5) (   4,    2) (   4,    5) (   3,    3)
          (   4,    3) (   3,    2) (   4,    5) (   4,    3) (   3,    3) (   4,    2) (   4,    2) (   4,    3) (   4,    5) (   4,    2)
          (   3,    3) (   4,    1) (   3,    2) (   4,    3) (   4,    4) (   3,    4) (   4,    3) (   4,    5) (   3,    4) (   4,    3)
          (   3,    4) (   3,    2) (   4,    3) (   4,    4) (   4,    3) (   4,    3) (   3,    2) (   4,    4) (   4,    3) (   4,    3)
          (   4,    1) (   4,    5) (   4,    4) (   4,    3) (   4,    4) (   3,    2) (   4,    3) (   3,    4) (   4,    3) (   4,    3)
          (   4,    4) (   4,    3) (   4,    0) (   4,    2) (   4,    4) (   4,    3) (   3,    4) (   4,    3) (   4,    3) (   4,    3)
          (   4,    3) (   4,    4) (   4,    3) (   3,    4) (   4,    3) (   4,    4) (   4,    3) (   4,    2) (   4,    6) (   4,    2)
          (   4,    3) (   4,    2) (   2,    2) (   4,    8) (   4,    2) (   3,    3) (   4,    3) (   3,    4) (   3,    2) (   3,    2)
          (   3,    3) (   4,    2) (   4,    5) (   3,    3) (   3,    3) (   2,    4) (   4,    4) (   4,    2) (   4,    2) (   4,    3)
          (   3,    5) (   3,    3) (   4,    2) (   3,    3) (   3,    3) (   3,    3) (   4,    3) (   4,    4) (   2,    5) (   4,    4)
          (   4,    5) (   4,    4) (   4,    4) (   4,    4) (   4,    2) (   3,    3) (   4,    4) (   4,    3) (   4,    2) (   4,    4)
          (   4,    4) (   4,    4) (   4,    2) (   4,    3) (   4,    4) (   4,    3) (   4,    5) (   4,    6) (   4,    2) (   4,    3)
          (   3,    2) (   3,    4) (   3,    4) (   3,    4) (   4,    4) (   4,    5) (   2,    2) (   4,    3) (   3,    2) (   4,    3)
          (   3,    3) (   4,    3) (   3,    4) (   4,    5) (   4,    3) (   4,    1) (   4,    3) (   3,    1) (   3,    3) (   4,    2)
          (   4,    2) (   4,    4) (   4,    2) (   3,    4) (   3,    3) (   3,    2) (   4,    4) (   4,    4) (   3,    4) (   4,    3)
          (   4,    5) (   4,    6) (   3,    3) (   4,    4) (   4,    4) (   4,    2) (   4,    4) (   4,    3) (   3,    3) (   4,    5)
          (   4,    2) (   4,    5) (   4,    4) (   4,    3) (   3,    2) (   4,    2) (   4,    2) (   4,    2) (   4,    4) (   4,    3)
          (   4,    1) (   3,    4) (   4,    5) (   3,    6) (   4,    6) (   4,    5) (   4,    6) (   2,    2) (   4,    3) (   3,    3)
          (   4,    4) (   3,    3) (   4,    2) (   4,    3) (   4,    4) (   4,    3) (   4,    5) (   4,    4) (   4,    5) (   2,    3)
          (   3,    3) (   3,    4) (   2,    4) (   4,    4) (   4,    2) (   3,    2) (   4,    3) (   4,    3) (   4,    3) (   3,    5)
          (   4,    3) (   3,    3) (   4,    4) (   3,    2) (   3,    3) (   4,    4) (   3,    5) (   3,    3) (   3,    6) (   3,    3)
          (   3,    5) (   4,    5) (   4,    3) (   4,    4) (   4,    1) (   4,    6) (   4,    5) (   3,    2) (   4,    3) (   4,    1)
          (   3,    2) (   4,    3) (   4,    4) (   4,    3) (   4,    4) (   4,    3) (   4,    5) (   4,    2) (   3,    5) (   4,    1)
          (   4,    3) (   4,    4) (   4,    4) (   4,    1) (   4,    4) (   4,    7) (   4,    5) (   4,    4) (   4,    3) (   4,    4)
          (   4,    4) (   4,    4) (   4,    7) (   4,    5) (   4,    4) (   4,    4) (   4,    4) (   4,    5) (   4,    3) (   4,    2)
          (   4,    4) (   4,    4) (   4,    3) (   4,    3) (   4,    4) (   4,    5) (   4,    6) (   4,    4) (   4,    4) (   4,    4)
          (   4,    5) (   4,    3) (   4,    3) (   4,    3) (   4,    4) (   4,    2) (   4,    6) (   4,    5) (   4,    5) (   4,    6)
          (   4,    6) (   4,    2) (   4,    4) (   4,    4) (   4,    2) (   4,    5) (   4,    3) (   4,    3) (   4,    4) (   4,    5)
          (   4,    5) (   4,    4) (   4,    3) (   4,    6) (   4,    5) (   4,    6) (   4,    5) (   4,    6) (   4,    2) (   4,    3)
          (   4,    6) (   4,    3) (   4,    5) (   4,    5) (   4,    5) (   4,    4) (   4,    3) (   4,    4) (   4,    7) (   4,    6)
          (   4,    5) (   4,    4) (   4,    5) (   4,    5) (   4,    4) (   4,    2) (   4,    4) (   4,    4) (   4,    3) (   4,    3)
          (   4,    5) (   4,    7) (   4,    4) (   4,    4) (   4,    3) (   4,    7) (   4,    4) (   4,    2) (   4,    4) (   4,    4)
          (   4,    6) (   4,    3) (   4,    5) (   4,    4) (   4,    4) (   4,    4) (   4,    6) (   4,    3) (   4,    6) (   4,    5)
          (   4,    3) (   4,    3) (   4,    5) (   4,    6) (   4,    5) (   4,    5) (   4,    2) (   4,    3) (   4,    5) (   4,    5)
          (   4,    4) (   4,    3) (   4,    2) (   4,    7) (   4,    4) (   4,    4) (   4,    2) (   4,    6) (   4,    1) (   4,    6)
          (   4,    5) (   4,    4) (   4,    4) (   4,    3) (   4,    6) (   4,    3) (   4,    3) (   4,    4) (   4,    4) (   4,    3)
          (   4,    3) (   4,    2) (   4,    4) (   4,    2) (   4,    5) (   4,    4) (   4,    5) (   4,    3) (   4,    1) (   4,    4)
          (   4,    4) (   4,    3) (   4,    6) (   4,    6) (   4,    3) (   4,    4) (   4,    4) (   4,    6) (   4,    3) (   4,    4)
          (   4,    4) (   4,    5) (   4,    4) (   4,    5) (   4,    1) (   4,    4) (   4,    2) (   4,    3) (   4,    5) (   4,    4)
          (   4,    4) (   4,    4) (   4,    4) (   4,    6) (   4,    0) (   4,    5) (   4,    3) (   4,    4) (   4,    4) (   4,    3)
          (   4,    2) (   4,    1) (   4,    3) (   4,    1) (   4,    2) (   4,    4) (   4,    4) (   4,    3) (   4,    3) (   4,    4)
          (   4,    5) (   4,    5) (   4,    3) (   4,    7) (   4,    4) (   4,    4) (   4,    4) (   4,    5) (   4,    7) (   4,    4)
          (   4,    6) (   4,    3) (   4,    6) (   4,    5) (   4,    2) (   4,    4) (   4,    2) (   4,    4) (   4,    3) (   4,    4)
          (   4,    4) (   4,    3) (   4,    5) (   4,    5) (   4,    5) (   4,    4) (   4,    6) (   4,    5) (   4,    2) (   4,    5)
          (   4,    4) (   4,    5) (   4,    5) (   4,    3) (   4,    2) (   4,    4) (   4,    2) (   4,    2) (   4,    3) (   4,    5)
          (   4,    5) (   4,    6) (   4,    2) (   4,    4) (   4,    4) (   4,    6) (   4,    4) (   4,    3) (   4,    6) (   4,    5)
